Team,2015,2016,2017,2018
1,1531,1553,1507,1542
5,0,0,0,0
7,0,0,0,0
8,1460,1476,1526,1600
9,0,0,0,0
11,1629,1608,1600,1539
16,1776,1796,1742,1793
19,0,0,0,0
20,1606,1612,1642,1666
21,1529,1591,1540,1611
22,0,0,0,0
25,1611,1710,1686,1799
27,1689,1715,1625,1753
33,1850,1790,1771,1781
34,1523,1536,1541,1519
38,0,0,0,0
40,0,0,0,0
41,1428,1590,1558,1542
42,0,0,0,0
45,1505,1564,1474,1500
47,0,0,0,0
48,1681,1660,1622,1526
49,0,0,0,0
53,1514,1438,0,0
56,1688,1646,1645,1746
57,1589,1557,0,0
60,1711,1610,1664,1599
61,1635,0,0,1609
63,1480,1515,1598,1621
64,0,0,0,0
65,0,0,0,0
66,1653,1563,1550,1656
67,1825,1748,1681,1756
68,1699,1604,1576,1598
69,1495,1520,1542,1493
70,1701,1638,1612,1668
71,1672,1641,1693,1685
73,1459,1440,0,0
74,1585,1586,1655,1638
75,1578,1590,1593,1598
79,1594,1643,1605,1566
81,1468,1452,1448,1394
84,0,0,0,0
85,1742,1684,1647,1774
86,1599,1622,1636,1632
87,1480,1471,1468,1362
88,1567,1571,1589,1703
92,0,0,0,0
93,1565,1567,1561,1607
94,1470,1472,1522,1535
95,1528,1523,1612,1764
100,1487,1493,1490,1506
102,1483,1575,1541,1549
103,1562,1515,1583,1639
107,1739,1702,1571,1585
108,1575,1552,1576,1552
111,1642,1678,1623,1671
114,1540,1524,1536,1557
115,1495,1447,1573,1620
116,1549,1483,1534,1530
117,1459,1480,1466,1452
118,1912,1887,1827,1885
120,1567,1600,1561,1595
121,1510,1505,1571,1546
122,1491,1590,0,1564
123,1567,1548,1513,1556
125,1663,1672,1602,1790
126,1641,1646,1526,1556
128,1572,1547,1471,1413
131,1542,1578,1597,1587
135,1735,1648,1681,1646
136,1427,1407,1389,1358
138,1553,1537,1532,1617
141,1473,1523,1590,1660
148,1923,1939,1743,1913
151,1475,1472,1402,1386
155,1558,1565,1513,1444
157,1488,1535,1557,1548
158,0,0,0,0
159,1508,1477,1536,1558
166,1573,1601,1535,1506
167,1532,1557,1546,1653
168,0,0,0,0
173,1522,1555,1539,1564
174,1484,1495,1524,1498
175,1631,1603,1640,1676
176,1578,1620,1573,1751
177,1604,1654,1662,1756
178,1517,1523,1486,1538
179,1669,1747,1703,1807
180,1674,1697,1711,1766
181,1477,1556,1525,1581
184,0,0,0,0
188,1671,1569,1613,1659
190,1557,1555,1554,1511
191,1555,1572,1586,1579
195,1792,1819,1795,1910
201,1518,1562,1564,1611
203,1596,1604,1596,1593
204,1462,1482,1466,1407
207,1520,1597,1624,1607
211,0,0,0,0
217,1615,1669,1640,1825
219,1572,1565,1621,1592
222,1677,1640,1638,1654
223,1460,1470,1545,1563
224,1495,1505,1449,1519
225,1783,1767,1672,1878
226,1614,1551,1583,1618
228,1558,1586,1577,1633
229,1523,1541,1612,1550
230,1646,1693,1640,1834
231,1602,1638,1586,1578
233,1616,1660,1647,1685
234,1780,1680,1668,1703
236,1660,1605,1636,1598
237,1554,1534,1547,1618
240,1477,1467,1464,1399
245,1633,1593,1590,1726
247,1443,1438,1488,1564
